Id;Text;Source;SourceUrl
1;After I captures the hero's super-weapon, I will not immediately disband my legions and relax my guard because I believe whoever holds the weapon is unstoppable.  After all, the hero held the weapon and I took it from him.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
2;"All bumbling conjurers, clumsy squires, no-talent bards, and cowardly thieves in the land will be preemptively executed; all annoying and/or humorously clever robots and androids will be destroyed; and it shall be declared a capital crime to be the ""town drunk"".  The hero will certainly give up and abandon his quest if he has no handy source of comic relief.";The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
3;All deathtraps will have only one way in or out, with any way out leading to an even more cunning deathtrap that works faster.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
4;All guards (and other workers) will be entitled to three weeks paid vacation a year after one full year's employment, will be covered (after that same period) by comprehensive medical and dental insurance (paid by me, the Evil Overlord) for themselves and spouse/companion and all dependents.  They will have regularly scheduled pay-raises for every five years with which they remain in my employ as well as annual, merit-based bonuses.  Stock options and retirement plans will be made available after five years of employment along with favorably termed loans for home improvement, education and debt consolidation.  Any employee disabled in my service will receive a lifetime pension.  Every year, my organization will make a few sizable college scholarships available for the most qualified of the dependents of my employees.  Upon leaving my employ they will be constrained from working for any competitor or adversary for a period of not less than five years.  All dismissals (as opposed to termination on their part) will be accompanied by a payment of one month's salary as termination pay and an excellent recommendation (regardless of cause for dismissal).  Good will is more valuable than terror on the part of my employees.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
5;All midwives will be banned from the realm.  All babies will be delivered at state-approved hospitals.  Orphans will be placed in foster-homes, not abandoned in the woods to be raised by creatures of the wild.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
6;All my computer systems will have uninterruptable power supplies.  All my circuitry will use breakers or fuses of the appropriate tolerances.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
7;All my public speaking engagements will be handled by a hologram.  If I ever go out in public myself, I will always be in disguise.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
8;All my secret escape pods will come with leather interior, dual climate zone comfort system, AM/FM stereo with 5 disk CD changer, emergency small arms cache, first aid kit, and a pair of fuzzy dice hanging from the rear view mirror.  There is never a bad time to show a bit of style.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
9;All naive, busty tavern wenches in my realm will be replaced with surly, world-weary waitresses who will provide no unexpected reinforcement and/or romantic subplot for the hero or his sidekick.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
10;All non-instantaneous deathtraps (drowning pools, trash compactors, gas chambers, etc.) in my fortress will be isolated from the communications and power grids.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
11;"All repair work will be done by an in-house maintenance staff.  Any ""repairmen"" who show up at the door will be escorted to the dungeon.";The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
12;All slain enemies will be cremated as soon as possible.  They will not be left for dead in a hidden area.  An announcement of their demise, plus the attendant public celebration, will be deferred until after the urn full of ashes has been placed into my hands.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
13;All younger siblings, spouses, children, students, and old army buddies of an enemy I have just killed will be hunted down to prevent them from attacking me at some future point in a quest for vengeance.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
14;Any captured-and-released or escaped Hero will have numerous tracking devices of several levels of detectability installed in his effects, vehicles, and person, at least one of which will have been ingested with his last food or drink.  Even so, I will never fail to put up a serious effort to track or intercept him by other means as well.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
15;Any data file of crucial importance will be padded to 1.45MB in size.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
16;"Any documentation that I must keep regarding my latest plan for global domination/ultimate weapon/etc. will be kept in a folder labeled something uninteresting, such as ""Sewage System Maintenance Logs"".  I will, however, leave on my desk a folder with a catchy, upbeat label like ""Operation: Annihilate"".  In the folder will be a single diskette, labeled only with a skull-and-crossbones.  On the diskette will be the nastiest viruses, Trojan horse programs, and computer worms that I and/or my henchmen can devise.  My base's computers will of course be protected against anything on this diskette, and inserting the diskette into a computer on my base will trigger the death rays.";The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
17;Any new concubines I plan to add to my harem will go through a complete screening process, including tests for STDs.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
18;Any ultimate weapon that was disassembled in the distant past and the components of which were scattered to the far parts of the world could not have been that great in the first place, or no one would have disassembled it.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
19;Anyone making any kind of deliveries to my fortress will be required to show proper identification and submit their conveyance to an inspection before they can pass through the gate.  Same applies when they leave.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
20;As an alternative to not having children, I will have lots of children.  My sons will be too busy jockeying for position to ever be a real threat, and the daughters will all sabotage each other's attempts to win the hero.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
21;Before putting my Master Plan into action, I will hire a board-certified team of architects and surveyors to examine my headquarters closely and inform me of any secret passages and abandoned tunnels that I might not know about.  This team will then be paid ludicrous amounts of money and relocated to the Caribbean Island of their choice, where they will live out their lives in luxury.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
22;Before spending available funds on giant gargoyles, gothic arches, or other cosmetically intimidating pieces of architecture, I will see if there are any valid military expenditures that could use the extra budget.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
23;Despite the delicious irony, I will not force two heroes to fight each other in the arena.;The Evil Overlord List;http://legendspbem.angelfire.com/eviloverlordlist.html
